24 3
-2.173680295984489405e-03 -2.407891714407234818e-01 2.858379289863398343e-02
5.640767188655591152e-02 -3.230692111147043244e-01 1.091970946176319332e-02
-6.248340845513176978e-02 -3.313024516206238834e-01 1.504126151754658393e-02
2.265770661101059597e-03 -1.163856208661322444e-01 -9.801428694908595127e-03
9.985910354641024111e-02 -7.095386723001890772e-01 1.895671205347986693e-02
-1.057400346233454275e-01 -7.149903340695766829e-01 1.019821902963062750e-02
6.754211239751490778e-03 2.157077328347736800e-02 1.701889784591968310e-02
8.506876767140945927e-02 -1.136413064736157885e+00 -1.847128262417790587e-02
-8.668448903109760018e-02 -1.135035921718636320e+00 -2.436345165145489475e-02
4.489621966395313662e-03 7.760316583947199365e-02 1.987394481052669887e-02
1.261231321221150115e-01 -1.196699012341694957e+00 1.035711410656516285e-01
-1.215243625430693919e-01 -1.197141483909772264e+00 1.059598358163920118e-01
-8.900562602461047079e-03 2.892386888391144661e-01 -1.359363324917884502e-02
7.619209779407666583e-02 1.916028564395971800e-01 9.757728274773043095e-04
-7.846402840677677015e-02 1.900755017505820765e-01 -3.833442297560267498e-03
1.212648833163580426e-03 3.781760494714912491e-01 3.681622770352063756e-02
1.991134811756218870e-01 2.368079508942285971e-01 -1.807022721492681019e-02
-1.916923372312924201e-01 2.369287733542189134e-01 -1.230551095067849640e-02
4.544453767160352986e-01 2.211589226200426084e-01 -4.101671313128658902e-02
-4.518198450375263686e-01 2.225594842474230839e-01 -4.357423994682694396e-02
7.201546331657118216e-01 2.338570311244356492e-01 -4.839144749312324773e-02
-7.209282268761778578e-01 2.293532047081988934e-01 -4.960100684005614574e-02
8.068451776857914481e-01 2.232210043173575853e-01 -6.398573927027491337e-02
-8.096819851044673166e-01 2.207016371472840244e-01 -5.970808383943274067e-02
