55 3
0.000555965 -0.33825 0.0135253 
0.0734547 -0.426728 -0.000958924 
-0.071639 -0.433178 -0.0022873 
-0.00490449 -0.236037 -0.0129359 
0.0997925 -0.802952 -0.0222034 
-0.101855 -0.805236 -0.0173975 
0.00526645 -0.118871 -0.0232118 
0.0915166 -1.1899 -0.0428004 
-0.098252 -1.18362 -0.0342901 
-0.000296103 -0.0750469 0.0088336 
0.113064 -1.23379 0.0645993 
-0.115655 -1.23096 0.0668399 
-0.00605834 0.119029 -0.0311282 
0.0519423 0.039233 -0.00914479 
-0.0549938 0.0352082 -0.0156432 
0.00271681 0.26512 -0.0103848 
0.140421 0.0847875 -0.0367863 
-0.150597 0.0830616 -0.0364088 
0.412665 0.0289046 -0.0640651 
-0.413154 0.0322838 -0.0567081 
0.640085 0.0364469 -0.0599805 
-0.641269 0.0356378 -0.0614636 
-0.00038153 0.262348 -0.0171548 
0.0309582 0.299827 0.0582527 
-0.0309588 0.299826 0.0582513 
0.740061 0.021942 -0.0401797 
0.770991 0.0246613 -0.0375216 
0.792896 0.0232969 -0.0371232 
0.746885 0.0242668 -0.0622294 
0.776255 0.0256302 -0.0660335 
0.799044 0.0250847 -0.0697185 
0.722145 0.0167889 -0.0995998 
0.736427 0.0163813 -0.111311 
0.750989 0.0155167 -0.122667 
0.735105 0.0216832 -0.0842748 
0.761834 0.0233396 -0.0895222 
0.783696 0.022405 -0.0964999 
0.681692 0.0145498 -0.034084 
0.698378 0.015283 -0.0110163 
0.718163 0.00966186 0.00297168 
-0.740062 0.0219445 -0.0401779 
-0.770991 0.0246627 -0.0375209 
-0.792895 0.0232977 -0.0371232 
-0.746886 0.0242684 -0.0622296 
-0.776255 0.0256316 -0.0660336 
-0.799044 0.0250853 -0.0697191 
-0.722147 0.016788 -0.0996007 
-0.736428 0.0163808 -0.111312 
-0.75099 0.0155168 -0.122667 
-0.735107 0.0216837 -0.0842759 
-0.761835 0.0233404 -0.0895236 
-0.783696 0.0224052 -0.0965015 
-0.68169 0.0145497 -0.0340815 
-0.698376 0.0152833 -0.0110137 
-0.718163 0.00966218 0.00297234 
