10475 3
5.777210742235183716e-02 2.659468650817871094e-01 -1.068734563887119293e-02
6.185387447476387024e-02 2.649889290332794189e-01 -9.673896245658397675e-03
6.247914955019950867e-02 2.664152681827545166e-01 -9.576945565640926361e-03
5.821844935417175293e-02 2.672591209411621094e-01 -1.047507021576166153e-02
7.051892578601837158e-02 2.667098939418792725e-01 -1.990620605647563934e-02
7.050562649965286255e-02 2.701905071735382080e-01 -1.631747931241989136e-02
7.004348933696746826e-02 2.729428410530090332e-01 -1.624257862567901611e-02
6.994941830635070801e-02 2.727230489253997803e-01 -1.904160901904106140e-02
2.551429718732833862e-02 2.280536144971847534e-01 -6.859824061393737793e-02
1.225783675909042358e-02 2.271033525466918945e-01 -7.335931807756423950e-02
1.171319186687469482e-02 2.177601009607315063e-01 -6.989309936761856079e-02
2.400919795036315918e-02 2.160199731588363647e-01 -6.461547315120697021e-02
4.033448919653892517e-02 1.934350728988647461e-01 -4.607708752155303955e-02
3.570513799786567688e-02 2.010912150144577026e-01 -5.080950260162353516e-02
3.418047726154327393e-02 1.897047013044357300e-01 -5.509769544005393982e-02
4.182144999504089355e-02 1.861005574464797974e-01 -4.640145972371101379e-02
3.757209330797195435e-02 3.265900015830993652e-01 7.140447199344635010e-02
4.476837441325187683e-02 3.249170482158660889e-01 6.620094925165176392e-02
4.345255345106124878e-02 3.189046382904052734e-01 6.980114430189132690e-02
-5.777169391512870789e-02 2.659442722797393799e-01 -1.069123670458793640e-02
-6.185354664921760559e-02 2.649861276149749756e-01 -9.677978232502937317e-03
-6.247891485691070557e-02 2.664123773574829102e-01 -9.581142105162143707e-03
-5.821776390075683594e-02 2.672565877437591553e-01 -1.047927793115377426e-02
-7.051758468151092529e-02 2.667067945003509521e-01 -1.991059072315692902e-02
-7.050399482250213623e-02 2.701874673366546631e-01 -1.632179692387580872e-02
-7.004249095916748047e-02 2.729397118091583252e-01 -1.624673046171665192e-02
-6.994803249835968018e-02 2.727199196815490723e-01 -1.904584839940071106e-02
3.664015233516693115e-02 3.199452161788940430e-01 7.392599433660507202e-02
8.828802406787872314e-02 2.881124019622802734e-01 -3.239075839519500732e-02
8.818337321281433105e-02 2.854206860065460205e-01 -3.341183811426162720e-02
8.832788467407226562e-02 2.840098440647125244e-01 -3.151812776923179626e-02
8.828488737344741821e-02 2.863807678222656250e-01 -3.063815273344516754e-02
8.416859060525894165e-02 2.697571814060211182e-01 -2.995068952441215515e-02
8.416154235601425171e-02 2.771239280700683594e-01 -3.187589347362518311e-02
8.548547327518463135e-02 2.796937823295593262e-01 -3.279364854097366333e-02
8.557184785604476929e-02 2.775883674621582031e-01 -3.179134801030158997e-02
8.419613540172576904e-02 2.594373226165771484e-01 -2.631551027297973633e-02
8.322553336620330811e-02 2.601003646850585938e-01 -2.583423443138599396e-02
8.472317457199096680e-02 2.646032869815826416e-01 -2.789431251585483551e-02
8.572572469711303711e-02 2.642363607883453369e-01 -2.863719128072261810e-02
6.946253776550292969e-02 2.414552420377731323e-01 -3.046894213184714317e-03
7.213458418846130371e-02 2.435366660356521606e-01 -5.037128459662199020e-03
7.255341857671737671e-02 2.411375492811203003e-01 -6.183724850416183472e-03
6.806256622076034546e-02 2.398150265216827393e-01 -4.513435531407594681e-03
6.527271121740341187e-02 2.412133663892745972e-01 -5.429859738796949387e-03
6.961110979318618774e-02 2.403440326452255249e-01 -9.495180100202560425e-03
6.923425942659378052e-02 2.434416264295578003e-01 -1.036735996603965759e-02
6.573075056076049805e-02 2.436404824256896973e-01 -7.159243337810039520e-03
8.366854488849639893e-02 2.983075976371765137e-01 -1.852999441325664520e-02
8.395137637853622437e-02 2.950373291969299316e-01 -1.794686913490295410e-02
8.239140361547470093e-02 2.942473292350769043e-01 -1.557088270783424377e-02
8.201376348733901978e-02 2.975882291793823242e-01 -1.583410613238811493e-02
6.999201327562332153e-02 2.656879425048828125e-01 -2.548567950725555420e-02
6.854269653558731079e-02 2.593549787998199463e-01 -2.338148094713687897e-02
7.467582821846008301e-02 2.636721730232238770e-01 -2.679794281721115112e-02
7.500316202640533447e-02 2.663928270339965820e-01 -2.732146158814430237e-02
8.178969472646713257e-02 2.879073023796081543e-01 -2.522467449307441711e-02
8.262231945991516113e-02 2.885947525501251221e-01 -2.873717993497848511e-02
8.297091722488403320e-02 2.863795757293701172e-01 -2.979432605206966400e-02
8.194636553525924683e-02 2.849807739257812500e-01 -2.706383354961872101e-02
8.485071361064910889e-02 2.897982299327850342e-01 -3.350596874952316284e-02
8.489537239074707031e-02 2.867735028266906738e-01 -3.466079384088516235e-02
6.828291714191436768e-02 2.503320872783660889e-01 -1.623129937797784805e-03
6.750994175672531128e-02 2.538700997829437256e-01 -9.451188379898667336e-04
6.805491447448730469e-02 2.553426921367645264e-01 -2.216016873717308044e-03
6.833870708942413330e-02 2.542885243892669678e-01 -3.552414244040846825e-03
6.931097805500030518e-02 2.665333151817321777e-01 -1.651406101882457733e-02
7.087337225675582886e-02 2.707600891590118408e-01 -1.494325138628482819e-02
8.027295768260955811e-02 2.495226562023162842e-01 -2.079752460122108459e-02
8.021156489849090576e-02 2.514174580574035645e-01 -1.990858092904090881e-02
8.232197165489196777e-02 2.551642656326293945e-01 -2.343473583459854126e-02
8.244276046752929688e-02 2.538203597068786621e-01 -2.455333992838859558e-02
7.733388990163803101e-02 2.540105283260345459e-01 -1.808897778391838074e-02
7.947397232055664062e-02 2.563749849796295166e-01 -2.170901373028755188e-02
8.053482323884963989e-02 2.568510174751281738e-01 -2.347920648753643036e-02
7.952116429805755615e-02 2.548667192459106445e-01 -2.132622525095939636e-02
8.460749685764312744e-02 2.909268140792846680e-01 -2.502550929784774780e-02
8.278365433216094971e-02 2.933031618595123291e-01 -2.044408954679965973e-02
8.370303362607955933e-02 2.927646338939666748e-01 -2.023353613913059235e-02
8.547051250934600830e-02 2.903349101543426514e-01 -2.489155344665050507e-02
7.697172462940216064e-02 2.781833708286285400e-01 -2.749690413475036621e-02
7.572124153375625610e-02 2.831991910934448242e-01 -2.590947598218917847e-02
7.479323446750640869e-02 2.826133072376251221e-01 -2.567858807742595673e-02
7.598405331373214722e-02 2.782543003559112549e-01 -2.717841230332851410e-02
8.482334762811660767e-02 2.874238491058349609e-01 -3.156656399369239807e-02
8.505728095769882202e-02 2.847546935081481934e-01 -3.247101977467536926e-02
8.334261924028396606e-02 2.837056815624237061e-01 -3.093381039798259735e-02
7.193318009376525879e-02 2.858397066593170166e-01 -1.356962509453296661e-02
7.265078276395797729e-02 2.867364883422851562e-01 -1.483082026243209839e-02
7.307341694831848145e-02 2.851117849349975586e-01 -1.523064076900482178e-02
7.269527763128280640e-02 2.838859260082244873e-01 -1.412542257457971573e-02
7.218857854604721069e-02 2.399069815874099731e-01 -9.459513239562511444e-03
6.656224280595779419e-02 2.506560683250427246e-01 -1.715524494647979736e-02
6.833581626415252686e-02 2.511306107044219971e-01 -1.874462515115737915e-02
7.113836705684661865e-02 2.551105618476867676e-01 -2.175387740135192871e-02
