55 3
0.00116772 -0.366841 0.0126691 
0.0573114 -0.461383 -0.0108055 
-0.0567019 -0.472008 -0.00388976 
-0.000168411 -0.256424 -0.0252556 
0.124541 -0.858251 -0.0174598 
-0.107429 -0.851829 -0.0183414 
0.0100408 -0.105453 -0.0208133 
0.0789466 -1.27954 -0.0586063 
-0.0902739 -1.28674 -0.058279 
0.00104884 -0.0476059 0.00185643 
0.123256 -1.34027 0.0765504 
-0.125718 -1.34641 0.0835339 
-0.00853356 0.118415 -0.025384 
0.0434695 0.0286715 -0.00339848 
-0.0450281 0.0292104 -0.00667258 
0.01437 0.279135 -0.00244419 
0.184415 0.0890883 -0.0182975 
-0.175383 0.0880596 -0.0192589 
0.439164 0.0129227 -0.0637898 
-0.447876 0.042134 -0.0516878 
0.710768 0.0385358 -0.0644381 
-0.711255 0.0421627 -0.06351 
-0.00633442 0.278246 -0.00862451 
0.0324752 0.324555 0.0633942 
-0.0324756 0.324554 0.0633931 
0.816855 0.0299502 -0.0433815 
0.850189 0.0315899 -0.039728 
0.873685 0.0288845 -0.0399502 
0.824988 0.0326842 -0.0683987 
0.856838 0.0331051 -0.0728492 
0.881194 0.030575 -0.0772808 
0.798906 0.0237879 -0.110934 
0.815904 0.0220499 -0.12297 
0.832559 0.0200316 -0.134171 
0.812686 0.0295873 -0.0933803 
0.84227 0.0302264 -0.0984506 
0.866209 0.0278904 -0.105288 
0.752494 0.0184588 -0.0367342 
0.769627 0.0202859 -0.00945055 
0.790556 0.0155413 0.00759348 
-0.816853 0.0299522 -0.0433792 
-0.850188 0.0315918 -0.0397254 
-0.873685 0.0288862 -0.0399482 
-0.824988 0.0326858 -0.0683986 
-0.856838 0.0331048 -0.07285 
-0.881194 0.0305747 -0.0772824 
-0.798909 0.0237879 -0.110935 
-0.815907 0.0220496 -0.122969 
-0.832561 0.020031 -0.13417 
-0.812687 0.0295889 -0.0933812 
-0.842271 0.0302276 -0.0984504 
-0.86621 0.0278909 -0.105289 
-0.752493 0.0184573 -0.0367325 
-0.769624 0.0202848 -0.00944946 
-0.790555 0.0155417 0.00759397 
