10475 3
6.271447241306304932e-02 2.884998321533203125e-01 -9.561440907418727875e-03
6.679648905992507935e-02 2.875075638294219971e-01 -8.524972014129161835e-03
6.737149506807327271e-02 2.889677584171295166e-01 -8.363637141883373260e-03
6.306990981101989746e-02 2.898313105106353760e-01 -9.307153522968292236e-03
7.503072917461395264e-02 2.894751429557800293e-01 -1.930270530283451080e-02
7.504476606845855713e-02 2.930561006069183350e-01 -1.557626575231552124e-02
7.463836669921875000e-02 2.958349883556365967e-01 -1.540159340947866440e-02
7.450731098651885986e-02 2.955914735794067383e-01 -1.834503747522830963e-02
2.828074246644973755e-02 2.488766461610794067e-01 -7.462951540946960449e-02
1.322773844003677368e-02 2.480330914258956909e-01 -8.004659414291381836e-02
1.349878869950771332e-02 2.385889887809753418e-01 -7.752110064029693604e-02
2.796153165400028229e-02 2.366808354854583740e-01 -7.163572311401367188e-02
4.808380082249641418e-02 2.137327790260314941e-01 -5.024791136384010315e-02
4.336016252636909485e-02 2.213483452796936035e-01 -5.661930888891220093e-02
4.184754937887191772e-02 2.107608318328857422e-01 -5.967288091778755188e-02
5.112455412745475769e-02 2.058796733617782593e-01 -4.723883047699928284e-02
3.957051411271095276e-02 3.522127568721771240e-01 7.864716649055480957e-02
4.705720394849777222e-02 3.504354059696197510e-01 7.302433252334594727e-02
4.569939523935317993e-02 3.443032801151275635e-01 7.684925198554992676e-02
-6.271290779113769531e-02 2.884967625141143799e-01 -9.566371329128742218e-03
-6.679493933916091919e-02 2.875043153762817383e-01 -8.530024439096450806e-03
-6.737018376588821411e-02 2.889644503593444824e-01 -8.368838578462600708e-03
-6.306869536638259888e-02 2.898281812667846680e-01 -9.312088601291179657e-03
-7.503031194210052490e-02 2.894714176654815674e-01 -1.930792257189750671e-02
-7.504450529813766479e-02 2.930524945259094238e-01 -1.558125391602516174e-02
-7.463749498128890991e-02 2.958314418792724609e-01 -1.540674362331628799e-02
-7.450723648071289062e-02 2.955879271030426025e-01 -1.834999024868011475e-02
3.850607201457023621e-02 3.453361093997955322e-01 8.132034540176391602e-02
9.454021602869033813e-02 3.112938702106475830e-01 -3.129076957702636719e-02
9.464596211910247803e-02 3.084437847137451172e-01 -3.244154527783393860e-02
9.489998966455459595e-02 3.069330453872680664e-01 -3.045832552015781403e-02
9.469571709632873535e-02 3.094401657581329346e-01 -2.949802577495574951e-02
9.066971391439437866e-02 2.925426363945007324e-01 -2.899983339011669159e-02
9.055799990892410278e-02 3.000844717025756836e-01 -3.079741261899471283e-02
9.177900850772857666e-02 3.027482330799102783e-01 -3.164244443178176880e-02
9.202938526868820190e-02 3.005393147468566895e-01 -3.073776327073574066e-02
9.059619158506393433e-02 2.819146811962127686e-01 -2.545785531401634216e-02
8.956608921289443970e-02 2.826042473316192627e-01 -2.505890093743801117e-02
9.116279333829879761e-02 2.871655523777008057e-01 -2.705459482967853546e-02
9.220726042985916138e-02 2.868090271949768066e-01 -2.775297872722148895e-02
7.599480450153350830e-02 2.630855143070220947e-01 -1.494326512329280376e-03
7.869615405797958374e-02 2.652537524700164795e-01 -3.513456322252750397e-03
7.910039275884628296e-02 2.628216445446014404e-01 -4.734119866043329239e-03
7.450059056282043457e-02 2.614226341247558594e-01 -3.134021535515785217e-03
7.149998843669891357e-02 2.626540660858154297e-01 -4.052136559039354324e-03
7.585985213518142700e-02 2.619599103927612305e-01 -8.350120857357978821e-03
7.529806345701217651e-02 2.649787962436676025e-01 -9.417762979865074158e-03
7.187637686729431152e-02 2.650213539600372314e-01 -5.963366013020277023e-03
8.934837579727172852e-02 3.218848109245300293e-01 -1.660704798996448517e-02
8.964618295431137085e-02 3.185479342937469482e-01 -1.606594771146774292e-02
8.786312490701675415e-02 3.177433013916015625e-01 -1.359285227954387665e-02
8.749865740537643433e-02 3.211732804775238037e-01 -1.373331714421510696e-02
7.504648715257644653e-02 2.877146899700164795e-01 -2.552311122417449951e-02
7.387138158082962036e-02 2.810715436935424805e-01 -2.326224185526371002e-02
8.005027472972869873e-02 2.857955694198608398e-01 -2.641088142991065979e-02
8.027607947587966919e-02 2.887478172779083252e-01 -2.692220173776149750e-02
8.753738552331924438e-02 3.109789788722991943e-01 -2.392158843576908112e-02
8.853891491889953613e-02 3.117495179176330566e-01 -2.737305499613285065e-02
8.902811259031295776e-02 3.095175623893737793e-01 -2.848119847476482391e-02
8.794651180505752563e-02 3.080386817455291748e-01 -2.581997774541378021e-02
9.088999032974243164e-02 3.130733072757720947e-01 -3.238365054130554199e-02
9.115551412105560303e-02 3.098867237567901611e-01 -3.364881500601768494e-02
7.404015213251113892e-02 2.719296514987945557e-01 2.839003573171794415e-04
7.294918596744537354e-02 2.756593525409698486e-01 1.084207440726459026e-03
7.338801026344299316e-02 2.773144841194152832e-01 -3.549787506926804781e-04
7.391723245382308960e-02 2.761606872081756592e-01 -1.741566462442278862e-03
7.381141930818557739e-02 2.893725931644439697e-01 -1.581622846424579620e-02
7.547723501920700073e-02 2.936684489250183105e-01 -1.406852994114160538e-02
8.659160137176513672e-02 2.716581523418426514e-01 -1.982191950082778931e-02
8.648584038019180298e-02 2.735821902751922607e-01 -1.906618289649486542e-02
8.860968798398971558e-02 2.775081694126129150e-01 -2.260678634047508240e-02
8.878105878829956055e-02 2.760871648788452148e-01 -2.370203658938407898e-02
8.348569273948669434e-02 2.762266993522644043e-01 -1.737132482230663300e-02
8.573974668979644775e-02 2.786864638328552246e-01 -2.098598144948482513e-02
8.677970618009567261e-02 2.792467176914215088e-01 -2.276165224611759186e-02
8.576748520135879517e-02 2.771715521812438965e-01 -2.060565911233425140e-02
9.045928716659545898e-02 3.143077492713928223e-01 -2.354168891906738281e-02
8.847830444574356079e-02 3.166415393352508545e-01 -1.886017806828022003e-02
8.943729847669601440e-02 3.162773847579956055e-01 -1.863725855946540833e-02
9.142867475748062134e-02 3.137708902359008789e-01 -2.338862232863903046e-02
8.219127357006072998e-02 3.010424077510833740e-01 -2.673529088497161865e-02
8.088940382003784180e-02 3.062124848365783691e-01 -2.488105744123458862e-02
7.986466586589813232e-02 3.055180311203002930e-01 -2.474871464073657990e-02
8.111904561519622803e-02 3.009867966175079346e-01 -2.644837275147438049e-02
9.092929959297180176e-02 3.106160163879394531e-01 -3.025254607200622559e-02
9.126832336187362671e-02 3.078787028789520264e-01 -3.122181072831153870e-02
8.952873945236206055e-02 3.067773878574371338e-01 -2.969835698604583740e-02
7.729251682758331299e-02 3.087805211544036865e-01 -1.233255024999380112e-02
7.805627584457397461e-02 3.096972405910491943e-01 -1.359163969755172729e-02
