10475 3
5.998334661126136780e-02 2.759906351566314697e-01 -8.929410018026828766e-03
6.407116353511810303e-02 2.750237882137298584e-01 -7.912863045930862427e-03
6.469375640153884888e-02 2.765146493911743164e-01 -7.783604320138692856e-03
6.043219566345214844e-02 2.773717343807220459e-01 -8.656507357954978943e-03
7.251674681901931763e-02 2.769203186035156250e-01 -1.842968538403511047e-02
7.251264899969100952e-02 2.804684340953826904e-01 -1.474613696336746216e-02
7.202374190092086792e-02 2.832317650318145752e-01 -1.466007344424724579e-02
7.188877463340759277e-02 2.830229401588439941e-01 -1.754147373139858246e-02
2.686394937336444855e-02 2.376400083303451538e-01 -7.029178738594055176e-02
1.271500438451766968e-02 2.369055449962615967e-01 -7.523453980684280396e-02
1.255369000136852264e-02 2.275401055812835693e-01 -7.207390666007995605e-02
2.575293369591236115e-02 2.256045639514923096e-01 -6.659927219152450562e-02
4.370654746890068054e-02 2.026162594556808472e-01 -4.699859023094177246e-02
3.913853690028190613e-02 2.102673053741455078e-01 -5.242431908845901489e-02
3.752369433641433716e-02 1.992661654949188232e-01 -5.626803636550903320e-02
4.599671065807342529e-02 1.949998140335083008e-01 -4.588875174522399902e-02
3.849636390805244446e-02 3.379944562911987305e-01 7.620984315872192383e-02
4.578496888279914856e-02 3.362850546836853027e-01 7.079045474529266357e-02
4.448431357741355896e-02 3.302116394042968750e-01 7.450203597545623779e-02
-5.998190119862556458e-02 2.759881019592285156e-01 -8.933951146900653839e-03
-6.406980007886886597e-02 2.750210464000701904e-01 -7.917500101029872894e-03
-6.469263136386871338e-02 2.765117883682250977e-01 -7.788595277816057205e-03
-6.043063476681709290e-02 2.773689925670623779e-01 -8.661609143018722534e-03
-7.251507788896560669e-02 2.769171893596649170e-01 -1.843482442200183868e-02
-7.251071929931640625e-02 2.804653644561767578e-01 -1.475124992430210114e-02
-7.202205061912536621e-02 2.832287251949310303e-01 -1.466500945389270782e-02
-7.188709080219268799e-02 2.830197513103485107e-01 -1.754642464220523834e-02
3.750854730606079102e-02 3.312228620052337646e-01 7.876820117235183716e-02
9.112259745597839355e-02 2.986997663974761963e-01 -3.057338669896125793e-02
9.108524024486541748e-02 2.959567308425903320e-01 -3.168425336480140686e-02
9.128182381391525269e-02 2.944941222667694092e-01 -2.975543960928916931e-02
9.116821736097335815e-02 2.969348728656768799e-01 -2.884177491068840027e-02
8.707316219806671143e-02 2.800621390342712402e-01 -2.827534452080726624e-02
8.704300969839096069e-02 2.875561714172363281e-01 -3.010297566652297974e-02
8.834242820739746094e-02 2.902000248432159424e-01 -3.097629360854625702e-02
8.847310394048690796e-02 2.880268990993499756e-01 -3.002631850540637970e-02
8.710785955190658569e-02 2.695989608764648438e-01 -2.466337010264396667e-02
8.611740171909332275e-02 2.702630162239074707e-01 -2.420645952224731445e-02
8.763989806175231934e-02 2.747995257377624512e-01 -2.626101300120353699e-02
8.865697681903839111e-02 2.744621932506561279e-01 -2.695411257445812225e-02
7.243467867374420166e-02 2.513096928596496582e-01 -1.134063000790774822e-03
7.511958479881286621e-02 2.533961832523345947e-01 -3.126815892755985260e-03
7.553526759147644043e-02 2.510174512863159180e-01 -4.314200952649116516e-03
7.099759578704833984e-02 2.497057169675827026e-01 -2.675815019756555557e-03
6.809881329536437988e-02 2.510068118572235107e-01 -3.577239345759153366e-03
7.250969111919403076e-02 2.501032054424285889e-01 -7.825334556400775909e-03
7.203886657953262329e-02 2.531407177448272705e-01 -8.785642683506011963e-03
6.850422918796539307e-02 2.533954381942749023e-01 -5.385906901210546494e-03
8.622344583272933960e-02 3.091028630733489990e-01 -1.634963415563106537e-02
8.650522679090499878e-02 3.057902753353118896e-01 -1.578657887876033783e-02
8.481121808290481567e-02 3.049758672714233398e-01 -1.338770333677530289e-02
8.444997668266296387e-02 3.083668947219848633e-01 -1.359208393841981888e-02
7.223603129386901855e-02 2.757323682308197021e-01 -2.424341812729835510e-02
7.086578011512756348e-02 2.692637443542480469e-01 -2.204884216189384460e-02
7.708004117012023926e-02 2.737563848495483398e-01 -2.535183168947696686e-02
7.737077772617340088e-02 2.765829861164093018e-01 -2.590283378958702087e-02
8.437769860029220581e-02 2.984155416488647461e-01 -2.335430122911930084e-02
8.527357876300811768e-02 2.991356253623962402e-01 -2.687944658100605011e-02
8.572065830230712891e-02 2.969388961791992188e-01 -2.791059389710426331e-02
8.467439562082290649e-02 2.954917550086975098e-01 -2.520683780312538147e-02
8.759199082851409912e-02 3.004292249679565430e-01 -3.167344257235527039e-02
8.773287385702133179e-02 2.973324358463287354e-01 -3.288145735859870911e-02
7.089371979236602783e-02 2.600612044334411621e-01 4.856046580243855715e-04
6.997202336788177490e-02 2.636615335941314697e-01 1.225583953782916069e-03
7.049507647752761841e-02 2.652169466018676758e-01 -1.108825235860422254e-04
7.090406119823455811e-02 2.641392946243286133e-01 -1.469724462367594242e-03
7.134322077035903931e-02 2.767744958400726318e-01 -1.493824552744626999e-02
7.290467619895935059e-02 2.810486853122711182e-01 -1.333472970873117447e-02
8.314704149961471558e-02 2.594999074935913086e-01 -1.911556161940097809e-02
8.304972946643829346e-02 2.614043056964874268e-01 -1.829568855464458466e-02
8.519345521926879883e-02 2.652479410171508789e-01 -2.179841324687004089e-02
8.534526824951171875e-02 2.638701200485229492e-01 -2.290911041200160980e-02
8.015831559896469116e-02 2.640070319175720215e-01 -1.649605855345726013e-02
